,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,78200,1,700,0.9,77600,78600,77300,15242330,1189766373900,466836995410000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,174600,1,400,0.23,169000,174700,169000,2399998,412653640200,127109212929000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,390000,1,1000,0.26,385000,392000,381000,94053,36612262000,91260000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,775000,2,-6000,-0.77,777000,783000,774000,32926,25589521000,55159850000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,65200,3,0,0.0,65000,65500,64600,553401,36045026200,53652212840000,822886700,STK
5,005380,KR7005380001,현대차,KOSPI,,249500,2,-1500,-0.6,249000,251000,246500,399284,99079634500,52249339654500,209416191,STK
6,000270,KR7000270009,기아,KOSPI,,119000,1,1000,0.85,118300,119400,117500,860737,102032360700,47843260157000,402044203,STK
7,068270,KR7068270008,셀트리온,KOSPI,,188900,2,-100,-0.05,187900,190700,187000,407074,77048149900,41189600041800,218049762,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,401500,2,-3500,-0.86,404000,407500,400500,172642,69616138000,33955348845000,84571230,STK
9,006400,KR7006400006,삼성SDI,KOSPI,,442000,1,8000,1.84,438000,452500,437500,407829,181669658500,30393922260000,68764530,STK
10,035420,KR7035420009,NAVER,KOSPI,,186300,1,1900,1.03,185200,187300,184600,717040,133372703300,30256721062200,162408594,STK
11,105560,KR7105560007,KB금융,KOSPI,,73600,2,-2000,-2.65,73500,75100,72700,933592,68789520500,29698414899200,403511072,STK
12,051910,KR7051910008,LG화학,KOSPI,,404500,1,2000,0.5,406000,412000,397500,219978,88796848500,28554602743500,70592343,STK
13,028260,KR7028260008,삼성물산,KOSPI,,148800,2,-1300,-0.87,149400,151000,148000,99871,14895873700,27616040496000,185591670,STK
14,055550,KR7055550008,신한지주,KOSPI,,46300,2,-350,-0.75,45800,46600,45200,1066844,48916515500,23584905808200,509393214,STK
15,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,233500,2,-5000,-2.1,236500,237500,233000,186461,43788341000,22836613824000,97801344,KSQ
16,003670,KR7003670007,포스코퓨처엠,KOSPI,,279000,2,-4500,-1.59,281000,282500,277500,161628,45144238500,21612238380000,77463220,STK
17,035720,KR7035720002,카카오,KOSPI,,48200,2,-400,-0.82,48150,48550,48050,601457,29013733400,21460755353400,445243887,STK
18,012330,KR7012330007,현대모비스,KOSPI,,227500,2,-1000,-0.44,226000,228000,225000,148207,33520554500,21306533885000,93655094,STK
19,032830,KR7032830002,삼성생명,KOSPI,,85700,2,-1800,-2.06,86500,87100,84600,138386,11864307000,17140000000000,200000000,STK
20,086790,KR7086790003,하나금융지주,KOSPI,,57700,2,-1000,-1.7,58000,58500,56900,700765,40347935500,16868975704600,292356598,STK
21,138040,KR7138040001,메리츠금융지주,KOSPI,,79500,1,100,0.13,78600,80000,78100,146039,11585631200,15162249063000,190720114,STK
22,066570,KR7066570003,LG전자,KOSPI,,91600,2,-1300,-1.4,92300,92500,91300,319249,29263932100,14990139762400,163647814,STK
23,000810,KR7000810002,삼성화재,KOSPI,,303000,2,-7000,-2.26,303500,310500,302500,52575,15990386500,14354575611000,47374837,STK
24,028300,KR7028300002,HLB,KOSDAQ,중견기업부,107700,2,-3500,-3.15,111200,112400,107400,965776,106348581200,14090430202800,130830364,KSQ
25,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,104400,2,-1800,-1.69,105000,106200,104200,585282,61394326700,13899642696000,133138340,KSQ
26,015760,KR7015760002,한국전력,KOSPI,,21550,1,400,1.89,21200,21700,21000,997237,21260393700,13834325859350,641964077,STK
27,042700,KR7042700005,한미반도체,KOSPI,,134000,2,-1000,-0.74,132100,134100,130200,782543,103208817800,13043466468000,97339302,STK
28,018260,KR7018260000,삼성에스디에스,KOSPI,,159400,2,-700,-0.44,158300,159900,157400,48401,7679080500,12334021320000,77377800,STK
29,003550,KR7003550001,LG,KOSPI,,77800,2,-1600,-2.02,78800,79100,77800,113816,8899036500,12238017255400,157300993,STK
30,329180,KR7329180004,HD현대중공업,KOSPI,,136400,2,-1300,-0.94,137000,139400,135300,81983,11223102700,12108653022400,88773116,STK
31,034730,KR7034730002,SK,KOSPI,,162900,2,-3100,-1.87,164800,166500,162300,72374,11840671100,11924007794100,73198329,STK
32,033780,KR7033780008,KT&G,KOSPI,,90900,1,1500,1.68,89000,91200,89000,226400,20484208250,11846314977300,130322497,STK
33,323410,KR7323410001,카카오뱅크,KOSPI,,24800,2,-300,-1.2,24700,24900,24100,503593,12453942000,11827644197600,476921137,STK
34,259960,KR7259960003,크래프톤,KOSPI,,244000,1,4500,1.88,237000,245500,236500,90931,22130051000,11800936292000,48364493,STK
35,009150,KR7009150004,삼성전기,KOSPI,,154000,2,-1900,-1.22,154500,157300,152400,286093,44292850600,11502829184000,74693696,STK
36,012450,KR7012450003,한화에어로스페이스,KOSPI,,221500,1,10000,4.73,212000,225000,210000,705731,154650649500,11214545000000,50630000,STK
37,017670,KR7017670001,SK텔레콤,KOSPI,,51200,2,-100,-0.19,51000,51400,50300,187592,9588537000,10997250713600,214790053,STK
38,024110,KR7024110009,기업은행,KOSPI,,13680,2,-270,-1.94,13940,13940,13670,824833,11334492360,10908785887920,797425869,STK
39,011200,KR7011200003,HMM,KOSPI,,15620,2,-230,-1.45,15600,15950,15520,674919,10565356180,10762796927520,689039496,STK
40,034020,KR7034020008,두산에너빌리티,KOSPI,,16620,2,-180,-1.07,16860,17090,16580,2353042,39424662840,10646126246520,640561146,STK
41,096770,KR7096770003,SK이노베이션,KOSPI,,109100,2,-2000,-1.8,109200,111100,108600,162729,17822694200,10444752869000,95735590,STK
42,316140,KR7316140003,우리금융지주,KOSPI,,14030,2,-200,-1.41,14110,14190,13920,1152446,16152798690,10418558759030,742591501,STK
43,090430,KR7090430000,아모레퍼시픽,KOSPI,,172900,1,3400,2.01,172400,174400,167600,624526,107332331400,10113398031100,58492759,STK
44,402340,KR7402340004,SK스퀘어,KOSPI,,74700,2,-1800,-2.35,75200,76100,73400,255184,19117108800,10065822012000,134749960,STK
45,010130,KR7010130003,고려아연,KOSPI,,463000,2,-500,-0.11,462000,465500,459500,15056,6969212000,9680676244000,20908588,STK
46,042660,KR7042660001,한화오션,KOSPI,,31300,2,-750,-2.34,32100,32800,31150,1280689,40657738900,9589033538700,306358899,STK
47,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,180400,1,3500,1.98,176400,182100,175500,723128,129813956400,9563333771200,53011828,KSQ
48,009540,KR7009540006,HD한국조선해양,KOSPI,,129600,2,-1900,-1.44,133000,133000,129200,182034,23747868100,9172195833600,70773116,STK
49,030200,KR7030200000,KT,KOSPI,,34650,1,50,0.14,34600,34850,34600,381217,13232214900,8910766730250,257164985,STK
50,267260,KR7267260008,HD현대일렉트릭,KOSPI,,238000,2,-9000,-3.64,243000,244500,235500,387871,92954828500,8579218130000,36047135,STK
51,352820,KR7352820005,하이브,KOSPI,,201000,2,-1000,-0.5,202500,205500,201000,297323,60343904500,8372071497000,41652097,STK
52,010140,KR7010140002,삼성중공업,KOSPI,,9430,2,-20,-0.21,9410,9550,9400,3824826,36175243910,8298400000000,880000000,STK
53,047050,KR7047050000,포스코인터내셔널,KOSPI,,46450,1,150,0.32,46200,47100,45950,234820,10909990600,8171613502600,175922788,STK
54,010950,KR7010950004,S-Oil,KOSPI,,70200,2,-2500,-3.44,72000,72100,70200,358242,25383358600,7903311998400,112582792,STK
55,450080,KR7450080007,에코프로머티,KOSPI,,113900,2,-3500,-2.98,117200,117200,112600,147817,16908115700,7857416330200,68985218,STK
56,003490,KR7003490000,대한항공,KOSPI,,21250,1,300,1.43,21000,21300,20900,447884,9463793300,7824689046250,368220661,STK
57,326030,KR7326030004,SK바이오팜,KOSPI,,88700,1,1100,1.26,87500,89200,87100,55224,4883802100,6946385275000,78313250,STK
58,086280,KR7086280005,현대글로비스,KOSPI,,184200,1,2200,1.21,177600,184800,177600,69753,12764330100,6907500000000,37500000,STK
59,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,55400,2,-3700,-6.26,57700,58300,54800,435552,24357261600,6862678822600,123875069,STK
60,051900,KR7051900009,LG생활건강,KOSPI,,424000,1,4000,0.95,423500,431500,416000,156630,66555603000,6622115528000,15618197,STK
61,005830,KR7005830005,DB손해보험,KOSPI,,93200,2,-4100,-4.21,96400,97200,92100,94298,8849259100,6598560000000,70800000,STK
62,022100,KR7022100002,포스코DX,KOSPI,,40000,2,-750,-1.84,40600,40650,39900,313673,12603544700,6081389160000,152034729,STK
63,000100,KR7000100008,유한양행,KOSPI,,72200,2,-200,-0.28,72100,72600,70900,182928,13135426800,5791094420800,80209064,STK
64,066970,KR7066970005,엘앤에프,KOSPI,,159300,2,-4600,-2.81,162300,163800,159200,109781,17659876500,5781751763400,36294738,STK
65,005387,KR7005382007,현대차2우B,KOSPI,,158200,2,-800,-0.5,159300,160600,157000,70061,11107987000,5657135656200,35759391,STK
66,088980,KR7088980008,맥쿼리인프라,KOSPI,,12620,1,20,0.16,12600,12650,12580,438833,5538545440,5499560700100,435781355,STK
67,001570,KR7001570001,금양,KOSPI,,91900,2,-2200,-2.34,93400,93500,91600,162300,14993679400,5334798400300,58050037,STK
68,047810,KR7047810007,한국항공우주,KOSPI,,54400,1,2600,5.02,52300,54400,52000,986418,53001237200,5302645820800,97475107,STK
69,011070,KR7011070000,LG이노텍,KOSPI,,223500,1,1500,0.68,222500,226000,221500,119612,26828893500,5289598414500,23667107,STK
70,241560,KR7241560002,두산밥캣,KOSPI,,52100,2,-100,-0.19,51700,52600,51400,174597,9072513000,5222981548600,100249166,STK
71,034220,KR7034220004,LG디스플레이,KOSPI,,10440,2,-100,-0.95,10510,10570,10370,433888,4532647770,5220000000000,500000000,STK
72,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,278500,2,-7500,-2.62,285500,288500,272000,230830,64095759500,5206367841500,18694319,KSQ
73,097950,KR7097950000,CJ제일제당,KOSPI,,344000,1,7000,2.08,334500,345500,331500,37715,12929114500,5178639984000,15054186,STK
74,267250,KR7267250009,HD현대,KOSPI,,64700,2,-2700,-4.01,66800,67200,64600,211359,13858603900,5110852599500,78993085,STK
75,028050,KR7028050003,삼성E&A,KOSPI,,26000,2,-450,-1.7,26050,26400,25650,552587,14361971050,5096000000000,196000000,STK
76,010120,KR7010120004,LS ELECTRIC,KOSPI,,167900,2,-8700,-4.93,173100,175800,166500,676263,114721027700,5037000000000,30000000,STK
77,005070,KR7005070008,코스모신소재,KOSPI,,154000,1,2200,1.45,152700,157800,152600,107920,16757261500,5006656424000,32510756,STK
78,251270,KR7251270005,넷마블,KOSPI,,57500,1,1600,2.86,55900,58500,55300,114137,6586228100,4942326365000,85953502,STK
79,377300,KR7377300009,카카오페이,KOSPI,,34950,2,-350,-0.99,34950,35400,34550,90634,3165008300,4699727129100,134470018,STK
80,454910,KR7454910001,두산로보틱스,KOSPI,,72300,1,300,0.42,72400,72600,71800,124921,9013252500,4686484554000,64819980,STK
81,011170,KR7011170008,롯데케미칼,KOSPI,,107000,2,-500,-0.47,106500,108500,104700,90591,9611695300,4576969833000,42775419,STK
82,302440,KR7302440003,SK바이오사이언스,KOSPI,,58900,1,300,0.51,58600,59400,58400,33660,1987105500,4525154475000,76827750,STK
83,029780,KR7029780004,삼성카드,KOSPI,,38650,2,-450,-1.15,38450,39000,38400,18222,705250050,4477946137150,115858891,STK
84,009830,KR7009830001,한화솔루션,KOSPI,,26000,1,400,1.56,25400,26250,25100,686921,17725058500,4469205936000,171892536,STK
85,006800,KR7006800007,미래에셋증권,KOSPI,,7450,2,-140,-1.84,7550,7570,7450,362019,2714261270,4435107239600,595316408,STK
86,006260,KR7006260004,LS,KOSPI,,137500,2,-600,-0.43,135200,142100,133300,333244,45663831900,4427500000000,32200000,STK
87,011790,KR7011790003,SKC,KOSPI,,114100,1,3700,3.35,111600,115700,111500,326628,37244642900,4320772801800,37868298,STK
88,032640,KR7032640005,LG유플러스,KOSPI,,9820,2,-30,-0.3,9830,9870,9800,540833,5313437030,4287523565020,436611361,STK
89,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,59000,2,-100,-0.17,58700,59600,58600,106433,6294984300,4206557928000,71297592,STK
90,021240,KR7021240007,코웨이,KOSPI,,56900,1,1200,2.15,55500,57200,55500,52759,2978118700,4199198321100,73799619,STK
91,064350,KR7064350002,현대로템,KOSPI,,38350,1,1050,2.82,37300,38500,37300,1241865,47280203050,4185606936550,109142293,STK
92,004020,KR7004020004,현대제철,KOSPI,,31300,2,-1050,-3.25,32150,32450,31200,533450,16802551100,4176853070500,133445785,STK
93,307950,KR7307950006,현대오토에버,KOSPI,,151600,2,-2400,-1.56,155000,160800,150800,292626,45608522000,4157475671200,27423982,STK
94,078930,KR7078930005,GS,KOSPI,,44250,2,-650,-1.45,44700,45350,43550,106025,4670387700,4111505476500,92915378,STK
95,128940,KR7128940004,한미약품,KOSPI,,320500,1,4000,1.26,319000,321500,317000,25393,8123059500,4105922615500,12810991,STK
96,005940,KR7005940002,NH투자증권,KOSPI,,12420,2,-70,-0.56,12390,12490,12380,328792,4094671520,4067454353580,327492299,STK
97,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,96400,1,300,0.31,96100,97200,95000,78069,7516594400,4008810773600,41585174,KSQ
98,180640,KR7180640005,한진칼,KOSPI,,59800,3,0,0.0,59100,60600,59100,32257,1941645300,3992384284200,66762279,STK
99,000720,KR7000720003,현대건설,KOSPI,,35350,2,-100,-0.28,35300,35550,35050,233341,8238775000,3936426292750,111355765,STK
100,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,258000,1,7000,2.79,246500,259500,245500,68758,17505583000,3932531460000,15242370,KSQ
101,079550,KR7079550000,LIG넥스원,KOSPI,,178700,1,17900,11.13,161600,179300,161000,557538,96391481600,3931400000000,22000000,STK
102,036570,KR7036570000,엔씨소프트,KOSPI,,178200,1,2100,1.19,176100,179600,175900,48823,8705430700,3912206720400,21954022,STK
103,001040,KR7001040005,CJ,KOSPI,,130700,1,3000,2.35,126900,130900,126600,116465,15011209900,3813433638600,29176998,STK
104,011780,KR7011780004,금호석유,KOSPI,,135400,2,-2800,-2.03,140100,140400,135100,40239,5535247100,3746880736600,27672679,STK
105,005385,KR7005381009,현대차우,KOSPI,,156800,2,-1600,-1.01,158000,158800,155700,42831,6720501700,3743127718400,23871988,STK
106,272210,KR7272210006,한화시스템,KOSPI,,19810,1,130,0.66,19740,20150,19370,2016670,39927695450,3742493096090,188919389,STK
107,271560,KR7271560005,오리온,KOSPI,,93000,1,100,0.11,92800,93200,92100,115493,10706258200,3676860276000,39536132,STK
108,071050,KR7071050009,한국금융지주,KOSPI,,65000,2,-2400,-3.56,66400,67100,64000,96895,6314996900,3622189480000,55725992,STK
109,003410,KR7003410008,쌍용C&E,KOSPI,,7000,3,0,0.0,7000,7010,7000,151098,1057835400,3490878776000,498696968,STK
110,039490,KR7039490008,키움증권,KOSPI,,130200,2,-2200,-1.66,132400,132500,126300,42589,5524003200,3414717121200,26226706,STK
111,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,175800,2,-1100,-0.62,176000,177400,174900,75361,13257751200,3410495036400,19399858,KSQ
112,016360,KR7016360000,삼성증권,KOSPI,,37750,2,-350,-0.92,37800,38000,37500,191066,7193273300,3371075000000,89300000,STK
113,035250,KR7035250000,강원랜드,KOSPI,,15280,2,-70,-0.46,15340,15340,15200,194819,2972231420,3269010840000,213940500,STK
114,403870,KR7403870009,HPSP,KOSDAQ,중견기업부,38700,2,-850,-2.15,38800,39450,38500,751499,29221554600,3209551372800,82934144,KSQ
115,018880,KR7018880005,한온시스템,KOSPI,,5840,1,260,4.66,5580,5870,5530,925554,5295088870,3117392000000,533800000,STK
116,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,239000,2,-1500,-0.62,235000,242500,233000,78296,18616115000,2944372450000,12319550,KSQ
117,010620,KR7010620003,HD현대미포,KOSPI,,73400,2,-1700,-2.26,74700,75900,73100,132176,9803061600,2931753736600,39942149,STK
118,298040,KR7298040007,효성중공업,KOSPI,,307000,2,-6000,-1.92,313000,318000,300000,53377,16512838500,2862636236000,9324548,STK
119,004990,KR7004990008,롯데지주,KOSPI,,27000,2,-700,-2.53,27750,27850,26900,112006,3046116650,2832549399000,104909237,STK
120,002790,KR7002790004,아모레G,KOSPI,,33650,3,0,0.0,34050,34750,32750,296486,10004780350,2774717757000,82458180,STK
121,000120,KR7000120006,CJ대한통운,KOSPI,,121000,2,-1600,-1.31,121900,124400,120800,31467,3835676800,2760293624000,22812344,STK
122,001450,KR7001450006,현대해상,KOSPI,,30450,2,-850,-2.72,31050,31250,30350,242026,7413842050,2722230000000,89400000,STK
123,138930,KR7138930003,BNK금융지주,KOSPI,,8370,2,-20,-0.24,8390,8450,8280,644362,5384097990,2695880226060,322088438,STK
124,383220,KR7383220001,F&F,KOSPI,,69900,1,4000,6.07,66200,70300,66200,234598,16109838900,2677664542500,38307075,STK
125,175330,KR7175330000,JB금융지주,KOSPI,,13250,2,-60,-0.45,13170,13310,13140,162161,2145770350,2584852373500,195083198,STK
126,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,109500,1,4900,4.68,104300,110900,103100,716407,77830226600,2568593184000,23457472,KSQ
127,007660,KR7007660004,이수페타시스,KOSPI,,40400,1,350,0.87,39400,40400,38800,1561226,61476262750,2555155327600,63246419,STK
128,036460,KR7036460004,한국가스공사,KOSPI,,27450,2,-150,-0.54,27500,27550,26950,95873,2613348050,2533991850000,92313000,STK
129,088350,KR7088350004,한화생명,KOSPI,,2905,2,-45,-1.53,2910,2940,2870,1384442,4010874840,2523079650000,868530000,STK
130,001440,KR7001440007,대한전선,KOSPI,,13490,2,-270,-1.96,13580,13800,13260,4310819,58267191140,2515174077000,186447300,STK
131,052690,KR7052690005,한전기술,KOSPI,,65700,3,0,0.0,65500,66200,64200,126290,8266433800,2511054000000,38220000,STK
132,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,207000,2,-4500,-2.13,210500,213000,205500,30939,6488697000,2486875644000,12013892,KSQ
133,004370,KR7004370003,농심,KOSPI,,407000,1,9000,2.26,398000,410000,396000,28693,11679298500,2475635294000,6082642,STK
134,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,68200,1,100,0.15,67800,69500,67300,320490,21852697300,2460901042600,36083593,KSQ
135,081660,KR7081660003,휠라홀딩스,KOSPI,,40400,2,-600,-1.46,40500,40750,40350,16637,673316600,2454389768800,60752222,STK
136,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,38000,1,50,0.13,38950,39200,37900,162492,6254685950,2431981722000,63999519,KSQ
137,000150,KR7000150003,두산,KOSPI,,147100,2,-5200,-3.41,152300,154100,145200,107292,15799479100,2430656128500,16523835,STK
138,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,67900,1,1200,1.8,66900,68400,66300,222902,15106191700,2412656206800,35532492,KSQ
139,357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,309500,1,7500,2.48,301500,312000,301500,22021,6792781000,2407466177000,7778566,KSQ
140,008930,KR7008930000,한미사이언스,KOSPI,,33950,2,-50,-0.15,33850,34350,33700,52178,1780481750,2375038113000,69956940,STK
141,282330,KR7282330000,BGF리테일,KOSPI,,132800,1,1700,1.3,132300,133500,130000,55500,7333675400,2295302716800,17283906,STK
142,012750,KR7012750006,에스원,KOSPI,,60300,1,500,0.84,59600,60900,59600,27356,1649189000,2291350433400,37999178,STK
143,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,44400,1,1000,2.3,42800,44450,42800,380792,16689299600,2282803533600,51414494,KSQ
144,003230,KR7003230000,삼양식품,KOSPI,,302500,1,7000,2.37,299500,310500,297500,62487,18979013000,2278737037500,7533015,STK
145,008770,KR7008770000,호텔신라,KOSPI,,57300,2,-2300,-3.86,58100,58200,57000,604589,34664834800,2248917333300,39248121,STK
146,073240,KR7073240004,금호타이어,KOSPI,,7820,1,780,11.08,7040,7900,6980,3922126,29692520750,2246375444340,287260287,STK
147,028670,KR7028670008,팬오션,KOSPI,,4150,1,40,0.97,4100,4180,4095,905921,3752196165,2218463474800,534569512,STK
148,002380,KR7002380004,KCC,KOSPI,,248000,2,-4000,-1.59,250500,252000,245000,15179,3747412000,2203844808000,8886471,STK
149,278470,KR7278470000,에이피알,KOSPI,,288000,1,4000,1.41,289500,301000,281500,679555,198892197500,2194611264000,7620178,STK
150,030000,KR7030000004,제일기획,KOSPI,,19050,1,130,0.69,18890,19080,18880,96847,1838182800,2191535336250,115041225,STK
151,112610,KR7112610001,씨에스윈드,KOSPI,,51600,2,-900,-1.71,53000,55000,51400,288349,15206694400,2176044394800,42171403,STK
152,014680,KR7014680003,한솔케미칼,KOSPI,,190500,2,-3300,-1.7,191200,192200,186500,51129,9678634200,2159354647500,11335195,STK
153,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,78000,2,-4200,-5.11,80200,81200,77600,437733,34531462400,2143747944000,27483948,KSQ
154,007070,KR7007070006,GS리테일,KOSPI,,19930,3,0,0.0,19810,19980,19810,127528,2534530680,2087028185460,104717922,STK
155,103140,KR7103140000,풍산,KOSPI,,73900,1,8900,13.69,67500,75000,67000,2503054,179509266000,2070994144200,28024278,STK
156,020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,44900,2,-600,-1.32,45550,46500,44200,214501,9686344450,2070376491500,46110835,STK
157,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,31950,2,-100,-0.31,32050,32200,31500,103818,3304836700,2052718967250,64247855,KSQ
158,000880,KR7000880005,한화,KOSPI,,27350,3,0,0.0,27300,27500,26850,159054,4316127400,2050121402250,74958735,STK
159,051915,KR7051911006,LG화학우,KOSPI,,265500,2,-2500,-0.93,267500,269500,265000,7625,2032315500,2041376400000,7688800,STK
160,023530,KR7023530009,롯데쇼핑,KOSPI,,69600,2,-100,-0.14,68800,70200,68800,19309,1344242500,1968897348000,28288755,STK
161,041510,KR7041510009,에스엠,KOSDAQ,우량기업부,81600,1,2300,2.9,78800,84000,78800,183321,14971325000,1924904995200,23589522,KSQ
162,000990,KR7000990002,DB하이텍,KOSPI,,42500,1,1100,2.66,41450,42650,41000,232495,9741807150,1886939990000,44398588,STK
163,026960,KR7026960005,동서,KOSPI,,18770,2,-300,-1.57,18900,19100,18740,56237,1061217990,1871369000000,99700000,STK
164,009420,KR7009420001,한올바이오파마,KOSPI,,35750,2,-350,-0.97,36500,36500,35400,169441,6095621850,1867602808500,52240638,STK
165,010060,KR7010060002,OCI홀딩스,KOSPI,,95000,1,100,0.11,93400,95400,91800,35568,3347270300,1862594890000,19606262,STK
166,204320,KR7204320006,HL만도,KOSPI,,39450,1,50,0.13,39400,40000,38550,533852,20965839850,1852458384000,46957120,STK
167,067630,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,16850,2,-360,-2.09,17210,17510,16810,548719,9452446240,1813429166650,107621909,KSQ
168,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,21900,1,100,0.46,21800,22000,21650,78493,1720251300,1809505392300,82625817,KSQ
169,457190,KR7457190007,이수스페셜티케미컬,KOSPI,,59700,2,-8200,-12.08,67000,67500,59200,1055330,66368094700,1803434316000,30208280,STK
170,012510,KR7012510004,더존비즈온,KOSPI,,58600,2,-1300,-2.17,58700,59500,57900,331462,19322736600,1780431142400,30382784,STK
171,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,36250,2,-1200,-3.2,36950,37050,36150,233278,8501068750,1779291411250,49083901,KSQ
172,139480,KR7139480008,이마트,KOSPI,,63400,2,-300,-0.47,63300,63900,63000,57571,3645959600,1767326924600,27875819,STK
173,006040,KR7006040000,동원산업,KOSPI,,37900,1,100,0.26,37700,38300,37200,30596,1154242650,1761693003500,46482665,STK
174,417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,25850,1,700,2.78,25350,26350,25200,750974,19384336200,1748821235150,67652659,KSQ
175,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,91500,2,-1900,-2.03,93100,95400,85000,323152,29551676800,1732452216000,18933904,KSQ
